Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Derrick Henry,RB,TEN,1,1,,David,David
Christian McCaffrey,RB,CAR,1,2,,Damon,Damon
Dalvin Cook,RB,MIN,1,3,,Chuck,Chuck
Joe Mixon,RB,CIN,1,4,,Stephen,Stephen
Davante Adams,WR,LV,1,5,,Chris,Chris
Najee Harris,RB,PIT,1,6,,Eric,Eric
Alvin Kamara,RB,NO,1,7,,Pat,Mike
Nick Chubb,RB,CLE,1,8,,Jono,Jono
Travis Kelce,TE,KC,1,9,,Rhodes,Rhodes
Austin Ekeler,RB,LAC,1,10,True,Greg,Greg
Aaron Jones,RB,GB,1,11,,Mike,Mike
Stefon Diggs,WR,BUF,1,12,,Justin,Justin
Javonte Williams,RB,DEN,2,12,,Justin,
Mark Andrews,TE,BAL,2,11,,Mike,Mike
James Conner,RB,ARI,2,10,,Greg,Greg
Saquon Barkley,RB,NYG,2,9,,Rhodes,Rhodes
Tyreek Hill,WR,MIA,2,8,,Jono,Jono
Josh Allen,QB,BUF,2,7,,Jono,Jono
Kyle Pitts,TE,ATL,2,6,,Eric,
Ezekiel Elliott,RB,DAL,2,5,,Chris,Chris
A.J. Brown,WR,PHI,2,4,,Stephen,Stephen
Keenan Allen,WR,LAC,2,3,,Chuck,Chuck
Mike Evans,WR,TB,2,2,,Damon,Damon
Michael Pittman,WR,IND,2,1,,David,David
CeeDee Lamb,WR,DAL,3,1,True,David,David
David Montgomery,RB,CHI,3,2,,Damon,Damon
Tee Higgins,WR,CIN,3,3,,Chuck,Chuck
Elijah Mitchell,RB,SF,3,4,,Stephen,
Josh Jacobs,RB,LV,3,5,,Chris,Chris
Patrick Mahomes,QB,KC,3,6,,Eric,Eric
D'Andre Swift,RB,DET,3,7,,Pat,Jono
Justin Herbert,QB,LAC,3,8,,Jono,Mike
Jonathan Taylor,RB,IND,3,9,True,Rhodes,Rhodes
Terry McLaurin,WR,WAS,3,10,,Greg,Greg
Courtland Sutton,WR,DEN,3,11,,Mike,Mike
DK Metcalf,WR,SEA,3,12,,Justin,Justin
Breece Hall,RB,NYJ,4,12,,Justin,Justin
Mike Williams,WR,LAC,4,11,,Mike,Mike
Lamar Jackson,QB,BAL,4,10,,Greg,Damon
Allen Robinson,WR,LAR,4,9,,Rhodes,
George Kittle,TE,SF,4,8,,Jono,Jono
AJ Dillon,RB,GB,4,7,,Chuck,Chuck
J.K. Dobbins,RB,BAL,4,6,,Eric,Eric
Antonio Gibson,RB,WAS,4,5,,Chris,Eric
Clyde Edwards-Helaire,RB,KC,4,4,,Stephen,David
Darren Waller,TE,LV,4,3,,Chuck,Chuck
Jaylen Waddle,WR,MIA,4,2,,Damon,Damon
Dameon Pierce,RB,HOU,4,1,,David,David
DJ Moore,WR,CAR,5,1,,David,David
Diontae Johnson,WR,PIT,5,2,,Damon,Damon
Amon-Ra St. Brown,WR,DET,5,3,,Chuck,David
Jerry Jeudy,WR,DEN,5,4,,Stephen,Stephen
Cooper Kupp,WR,LAR,5,5,True,Chris,Chris
Michael Thomas,WR,NO,5,6,,Eric,
Chris Godwin,WR,TB,5,7,,Pat,Mike
Marquise Brown,WR,ARI,5,8,,Jono,
Damien Harris,RB,NE,5,9,,Chuck,Chuck
Brandin Cooks,WR,HOU,5,10,,Greg,
Dallas Goedert,TE,PHI,5,11,,Chris,Chris
Kyler Murray,QB,ARI,5,12,,Justin,
JuJu Smith-Schuster,WR,KC,6,12,,Justin,Justin
Ja'Marr Chase,WR,CIN,6,11,True,Mike,Mike
Miles Sanders,RB,PHI,6,10,,Greg,Greg
Joe Burrow,QB,CIN,6,9,,Rhodes,Rhodes
Adam Thielen,WR,MIN,6,8,,Jono,Jono
Cordarrelle Patterson,RB,ATL,6,7,,Jono,Jono
Rashaad Penny,RB,SEA,6,6,,Eric,
Tony Pollard,RB,DAL,6,5,,Chris,Chris
T.J. Hockenson,TE,DET,6,4,,Stephen,Stephen
Gabe Davis,WR,BUF,6,3,,Chuck,Chuck
Jalen Hurts,QB,PHI,6,2,,Damon,Damon
Dalton Schultz,TE,DAL,6,1,,David,Chris
Aaron Rodgers,QB,GB,7,1,,David,David
Rhamondre Stevenson,RB,NE,7,2,,Damon,Damon
Hunter Renfrow,WR,LV,7,3,,Chuck,Chris
Russell Wilson,QB,DEN,7,4,,Stephen,Stephen
Dawson Knox,TE,BUF,7,5,,Chris,Chuck
Deebo Samuel,WR,SF,7,6,True,Eric,Eric
Brandon Aiyuk,WR,SF,7,7,,Chuck,Jono
Leonard Fournette,RB,TB,7,8,True,Jono,Jono
Darnell Mooney,WR,CHI,7,9,,Rhodes,Rhodes
DeVonta Smith,WR,PHI,7,10,,Greg,Greg
Chase Edmonds,RB,MIA,7,11,,Mike,
Amari Cooper,WR,CLE,7,12,,Justin,Justin
